TAGNAME,TIME,SUNANGLE,VALUE,Latitude,Longitude,Temp 2m,Dewpoint 2m,Pressure,Precipitation,GHI,DHI,BNI,Location,Date,Time,Date.1,Timestamp,Year,hours
Main optic,30-06-2023 23:01,-5.540027906,1,59.998,-1.159,11.43803827,9.293210338,101908.3295,0,0,0,0,Mousa,30-06-2023 00:00,23:01:16,30-06-2023,00:00:00,2023,23.02111111
Light,30-06-2023 22:28,-2.74405091,1,59.122,-5.816,10.40853253,7.5119626,102158.7288,8.56469E-07,0,0,0,North_Rona,30-06-2023 00:00,22:28:42,30-06-2023,00:00:00,2023,22.47833333
Optic Main,30-06-2023 22:23,-2.809404935,1,59.854,-1.276,11.39346355,9.323245901,101958.4708,0,0,0,0,Sumburgh_Head,30-06-2023 00:00,22:23:42,30-06-2023,00:00:00,2023,22.395
Optic Main,30-06-2023 22:02,-1.964770722,1,59.39,-2.382,10.89045446,9.359647481,102059.8302,0,0,0,0,North_Ronaldsay,30-06-2023 00:00,22:02:36,30-06-2023,00:00:00,2023,22.04333333
Main Optic,30-06-2023 22:02,-1.404697878,1,60.741,-0.795,11.61869261,9.279538382,101979.907,0,0,0,0,Balta_Sound,30-06-2023 00:00,22:02:12,30-06-2023,00:00:00,2023,22.03666667
Light,30-06-2023 21:59,-1.628057977,1,59.086,-4.407,10.75734352,7.955447518,102179.9063,0,0,0,0,Sule_Skerry,30-06-2023 00:00,21:59:17,30-06-2023,00:00:00,2023,21.98805556
Light,30-06-2023 21:46,-1.425146291,1,58.85,-3.014,10.71104563,9.058125551,101912.702,0,0,0,0,Flotta_Grinds_Buoy,30-06-2023 00:00,21:46:43,30-06-2023,00:00:00,2023,21.77861111
Main Optic,30-06-2023 21:33,-0.708947115,1,58.672,-3.377,9.900759451,8.371333717,101686.0586,0,0,0,0,Dunnet_Head,30-06-2023 00:00,21:33:06,30-06-2023,00:00:00,2023,21.55166667
ML1 Status,30-06-2023 21:03,-2.452918579,1,49.868,-6.435,15.90714831,14.06219491,101988.5116,0,0,0,0,BishopRock,30-06-2023 00:00,21:03:05,30-06-2023,00:00:00,2023,21.05138889
ML1 Status,30-06-2023 21:00,-2.379672911,1,50.535,-5.034,14.77272609,13.23125564,101435.7081,0,0,0,0,Trevose,30-06-2023 00:00,21:00:43,30-06-2023,00:00:00,2023,21.01194444
ML1 Status,30-06-2023 20:54,-2.105504849,1,49.961,-5.203,15.42061213,13.63025196,101745.8756,0,0,0,0,Lizard,30-06-2023 00:00,20:54:40,30-06-2023,00:00:00,2023,20.91111111
ML1 Status,30-06-2023 20:50,-1.613347031,1,49.935,-5.801,15.2597178,13.69943414,101919.0228,0,0,0,0,WolfRock,30-06-2023 00:00,20:50:56,30-06-2023,00:00:00,2023,20.84888889
ML1 Status,30-06-2023 20:48,-1.346006276,1,51.2,-4.202,15.11169082,13.30230152,101438.0416,0,0,0,0,BullPointPost,30-06-2023 00:00,20:48:28,30-06-2023,00:00:00,2023,20.80777778
Main Status,30-06-2023 20:21,1.350853363,1,50.235,-5.401,15.21988962,13.4347462,101578.2205,0,2.37107,2.37107,0,Godrevy,30-06-2023 00:00,20:21:00,30-06-2023,00:00:00,2023,20.35
Main Optic,30-06-2023 06:24,20.58643775,0,58.672,-3.377,10.90078182,8.926368554,101633.0465,1.10371E-05,48.01490489,48.01490489,0,Dunnet_Head,30-06-2023 00:00,06:24:26,30-06-2023,00:00:00,2023,6.407222222
ML1 Status,30-06-2023 05:59,14.11490694,0,50.535,-5.034,14.78993788,13.49919929,101330.6174,0,370.9360882,126.690211,520.4502118,Trevose,30-06-2023 00:00,05:59:58,30-06-2023,00:00:00,2023,5.999444444
Main Status,30-06-2023 05:12,6.863567022,0,50.235,-5.401,13.67613567,12.43727289,101473.7078,0,98.64006,66.30868,133.90336,Godrevy,30-06-2023 00:00,05:12:00,30-06-2023,00:00:00,2023,5.2
ML1 Status,30-06-2023 04:59,5.502421312,1,50.535,-5.034,14.08133859,13.29664978,101300.8791,0,213.9754324,95.783808,363.032316,Trevose,30-06-2023 00:00,04:59:28,30-06-2023,00:00:00,2023,4.991111111
