TAGNAME,TIME,SUNANGLE,VALUE,Latitude,Longitude,Temp 2m,Dewpoint 2m,Pressure,Precipitation,GHI,DHI,BNI,Location,Date,Time,Date.1,Timestamp,Year,hours
Main Optic,30-06-2023 22:02,-1.404697878,1.0,60.741,-0.795,11.61869261,9.279538382,101979.907,0.0,0.0,0.0,0.0,Balta_Sound,30-06-2023 00:00,22:02:12,30-06-2023,00:00:00,2023.0,22.03666667
Main Optic,30-06-2023 02:59,1.235128934,0.0,60.741,-0.795,10.73937513,7.730220301,101943.7611,1.24142e-08,51.62428017,51.62428017,0.0,Balta_Sound,30-06-2023 00:00,02:59:21,30-06-2023,00:00:00,2023.0,2.989166667
Main Optic,29-06-2023 21:38,-0.232289424,1.0,60.741,-0.795,11.0956152,9.370873208,101991.0769,0.0,0.0,0.0,0.0,Balta_Sound,29-06-2023 00:00,21:38:05,29-06-2023,00:00:00,2023.0,21.63472222
Main Optic,29-06-2023 04:00,6.361274911,0.0,60.741,-0.795,11.09473127,8.680820317,101621.2312,3.57458e-05,18.39616583,18.39616583,0.0,Balta_Sound,29-06-2023 00:00,04:00:15,29-06-2023,00:00:00,2023.0,4.004166667
Main Optic,28-06-2023 21:23,0.688343316,1.0,60.741,-0.795,10.98598144,8.88299485,101547.8423,3.22743e-05,0.8272825,0.8272825,0.0,Balta_Sound,28-06-2023 00:00,21:23:09,28-06-2023,00:00:00,2023.0,21.38583333
Main Optic,28-06-2023 03:20,2.977768671,0.0,60.741,-0.795,9.568511027,7.618635659,101578.8123,5.67504e-06,20.90797375,20.90797375,0.0,Balta_Sound,28-06-2023 00:00,03:20:57,28-06-2023,00:00:00,2023.0,3.349166667
Main Optic,27-06-2023 21:54,-0.9725977,1.0,60.741,-0.795,10.53370967,9.000714511,101677.479,4.35719e-07,0.0,0.0,0.0,Balta_Sound,27-06-2023 00:00,21:54:11,27-06-2023,00:00:00,2023.0,21.90305556
Main Optic,27-06-2023 03:41,4.726289414,0.0,60.741,-0.795,11.11952443,9.596701302,101761.8941,5.72206e-05,22.61171283,22.61171283,0.0,Balta_Sound,27-06-2023 00:00,03:41:01,27-06-2023,00:00:00,2023.0,3.683611111
Main Optic,26-06-2023 21:50,-0.802577803,1.0,60.741,-0.795,11.12459133,8.781712188,101929.4117,7.76387e-06,0.0,0.0,0.0,Balta_Sound,26-06-2023 00:00,21:50:56,26-06-2023,00:00:00,2023.0,21.84888889
Main Optic,26-06-2023 02:59,1.471105566,0.0,60.741,-0.795,10.09605053,5.97942651,102275.1025,0.0,27.00171944,27.00148889,0.003833333,Balta_Sound,26-06-2023 00:00,02:59:35,26-06-2023,00:00:00,2023.0,2.993055556
Main Optic,25-06-2023 21:36,-0.060104824,1.0,60.741,-0.795,10.77017135,6.297026334,102334.375,3.32469e-07,0.0,0.0,0.0,Balta_Sound,25-06-2023 00:00,21:36:45,25-06-2023,00:00:00,2023.0,21.6125
Main Optic,25-06-2023 03:18,2.942473668,0.0,60.741,-0.795,10.25464189,7.322416924,101985.0638,8.64709e-05,35.18624172,31.31797717,23.41488344,Balta_Sound,25-06-2023 00:00,03:18:38,25-06-2023,00:00:00,2023.0,3.310555556
Main Optic,24-06-2023 21:02,2.223032554,1.0,60.741,-0.795,10.4099153,6.898295956,101897.0156,4.28807e-05,1.458463667,1.458463667,0.0,Balta_Sound,24-06-2023 00:00,21:02:18,24-06-2023,00:00:00,2023.0,21.03833333
Main Optic,24-06-2023 03:19,3.079142979,0.0,60.741,-0.795,9.447076778,6.289989302,101859.5156,7.36888e-05,20.95952378,20.95952378,0.0,Balta_Sound,24-06-2023 00:00,03:19:52,24-06-2023,00:00:00,2023.0,3.331111111
Main Optic,23-06-2023 21:37,-0.080091912,1.0,60.741,-0.795,9.76860301,6.963962027,102006.4481,7.01929e-06,0.0,0.0,0.0,Balta_Sound,23-06-2023 00:00,21:37:25,23-06-2023,00:00:00,2023.0,21.62361111
Main Optic,23-06-2023 03:37,4.568313542,0.0,60.741,-0.795,11.5089166,9.797082851,101616.6541,0.000110121,26.74289542,26.74289542,0.0,Balta_Sound,23-06-2023 00:00,03:37:15,23-06-2023,00:00:00,2023.0,3.620833333
Main Optic,22-06-2023 21:31,0.259456235,1.0,60.741,-0.795,11.02208448,7.767444314,101784.5374,1.61633e-05,0.0,0.0,0.0,Balta_Sound,22-06-2023 00:00,21:31:28,22-06-2023,00:00:00,2023.0,21.52444444
Main Optic,22-06-2023 02:38,0.260662244,0.0,60.741,-0.795,9.69395022,4.918708805,101926.1964,3.12023e-06,23.29475667,23.13635542,2.482145833,Balta_Sound,22-06-2023 00:00,02:38:57,22-06-2023,00:00:00,2023.0,2.649166667
Main Optic,21-06-2023 22:07,-1.448898487,1.0,60.741,-0.795,10.00474498,5.974611015,101851.0398,3.31254e-06,0.0,0.0,0.0,Balta_Sound,21-06-2023 00:00,22:07:01,21-06-2023,00:00:00,2023.0,22.11694444
Main Optic,21-06-2023 03:08,2.285899536,0.0,60.741,-0.795,9.591342263,7.776540332,101050.838,7.71014e-05,25.38934322,25.38814583,0.018730583,Balta_Sound,21-06-2023 00:00,03:08:41,21-06-2023,00:00:00,2023.0,3.144722222
Main Optic,20-06-2023 21:20,0.950641737,1.0,60.741,-0.795,10.56168739,6.49440968,100999.0777,8.04828e-08,1.001727667,1.001727667,0.0,Balta_Sound,20-06-2023 00:00,21:20:04,20-06-2023,00:00:00,2023.0,21.33444444
Main Optic,20-06-2023 02:46,0.732728287,0.0,60.741,-0.795,9.924575341,4.990718189,101491.7476,0.0,56.93722711,46.02728472,77.07617783,Balta_Sound,20-06-2023 00:00,02:46:14,20-06-2023,00:00:00,2023.0,2.770555556
Main Optic,19-06-2023 21:54,-0.975341942,1.0,60.741,-0.795,9.977244291,5.528605532,101591.8859,0.0,0.0,0.0,0.0,Balta_Sound,19-06-2023 00:00,21:54:58,19-06-2023,00:00:00,2023.0,21.91611111
Main Optic,19-06-2023 02:54,1.303219944,0.0,60.741,-0.795,9.708103904,5.022037278,101738.2275,1.73857e-06,62.19012,59.72760917,11.55581372,Balta_Sound,19-06-2023 00:00,02:54:47,19-06-2023,00:00:00,2023.0,2.913055556
Main Optic,18-06-2023 21:57,-1.10318366,1.0,60.741,-0.795,9.997659262,5.676481,101897.9903,0.0,0.0,0.0,0.0,Balta_Sound,18-06-2023 00:00,21:57:31,18-06-2023,00:00:00,2023.0,21.95861111
Main Optic,18-06-2023 07:10,28.34354164,0.0,60.741,-0.795,10.21573741,6.152924621,101583.139,1.08884e-05,356.1034761,182.0354333,324.1862726,Balta_Sound,18-06-2023 00:00,07:10:31,18-06-2023,00:00:00,2023.0,7.175277778
Main Optic,17-06-2023 22:06,-1.485445335,1.0,60.741,-0.795,10.70407924,9.083416573,101243.6421,7.84409e-05,0.0,0.0,0.0,Balta_Sound,17-06-2023 00:00,22:06:31,17-06-2023,00:00:00,2023.0,22.10861111
Main Optic,17-06-2023 02:35,0.074595818,0.0,60.741,-0.795,11.08516108,8.681773637,100768.2116,0.0,62.79556469,41.59468386,125.141072,Balta_Sound,17-06-2023 00:00,02:35:23,17-06-2023,00:00:00,2023.0,2.589722222
Main Optic,16-06-2023 21:54,-1.026081816,1.0,60.741,-0.795,11.30690794,8.929338448,100727.4736,0.0,0.0,0.0,0.0,Balta_Sound,16-06-2023 00:00,21:54:34,16-06-2023,00:00:00,2023.0,21.90944444
